res/airport-time-windows/20/alpha_f_-1.log,;;;; Solution Found,,41.86,731,292,731,278.393
res/airport-time-windows/20/alpha_f_-10000.log,;;;; Solution Found,,41.73,731,292,731,278.339
res/airport-time-windows/20/alpha_f_0.1.log,;;;; Solution Found,,41.93,731,292,731,278.473
res/airport-time-windows/20/alpha_f_0.log,;;;; Solution Found,,43.55,731,292,731,278.661
res/airport-time-windows/20/alpha_f_1.log,;;;; Solution Found,,42.43,731,292,731,278.507
res/airport-time-windows/20/alpha_f_10000.log,;;;; Solution Found,,41.53,731,292,731,278.439
res/airport-time-windows/20/alpha_ms_-1.log,;;;; Solution Found,,41.77,731,292,731,278.276
res/airport-time-windows/20/alpha_ms_-10000.log,;;;; Solution Found,,39.75,731,292,731,277.861
res/airport-time-windows/20/alpha_ms_0.1.log,;;;; Solution Found,,40.04,731,292,731,277.967
res/airport-time-windows/20/alpha_ms_0.log,;;;; Solution Found,,41.85,731,292,731,278.266
res/airport-time-windows/20/alpha_ms_1.log,;;;; Solution Found,,39.89,731,292,731,277.892
res/airport-time-windows/20/alpha_ms_10000.log,;;;; Solution Found,,41.59,731,292,731,278.453
res/airport-time-windows/20/h.log,;;;; Solution Found,,40.14,548,198,548,277.343
res/airport-time-windows/20/h_fs.log,;;;; Solution Found,,41.03,548,198,548,277.508
res/airport-time-windows/20/h_ms.log,;;;; Solution Found,,39.64,548,198,548,277.6
res/airport-time-windows/21/alpha_-1.log,,,,,,,0
res/airport-time-windows/21/alpha_-10000.log,,,,,,,0
res/airport-time-windows/21/alpha_0.1.log,,,,,,,0
res/airport-time-windows/21/alpha_0.log,,,,,,,0
res/airport-time-windows/21/alpha_1.log,,,,,,,0
res/airport-time-windows/21/alpha_10000.log,,,,,,,0
res/airport-time-windows/21/alpha_f_-1.log,,,,,,,0
res/airport-time-windows/21/alpha_f_-10000.log,,,,,,,0
res/airport-time-windows/21/alpha_f_0.1.log,,,,,,,0
res/airport-time-windows/21/alpha_f_0.log,,,,,,,0
res/airport-time-windows/21/alpha_f_1.log,,,,,,,0
res/airport-time-windows/21/alpha_f_10000.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_-1.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_-10000.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_0.1.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_0.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_1.log,,,,,,,0
res/airport-time-windows/21/alpha_ms_10000.log,,,,,,,0
res/airport-time-windows/21/h.log,,,,,,,0
res/airport-time-windows/21/h_fs.log,,,,,,,0
res/airport-time-windows/21/h_ms.log,,,,,,,0
res/airport-time-windows/22/alpha_-1.log,;;;; Solution Found,,60.23,1378,386,1378,277.085
res/airport-time-windows/22/alpha_-10000.log,;;;; Solution Found,,56.60,1378,386,1378,275.666
res/airport-time-windows/22/alpha_0.1.log,;;;; Solution Found,,59.78,1378,386,1378,276.926
res/airport-time-windows/22/alpha_0.log,;;;; Solution Found,,60.30,1378,386,1378,277.37
res/airport-time-windows/22/alpha_1.log,;;;; Solution Found,,55.87,1378,386,1378,274.757
res/airport-time-windows/22/alpha_10000.log,;;;; Solution Found,,56.30,1378,386,1378,275.029
res/airport-time-windows/22/alpha_f_-1.log,;;;; Solution Found,,57.82,1378,386,1378,275.667
res/airport-time-windows/22/alpha_f_-10000.log,;;;; Solution Found,,60.00,1378,386,1378,276.899
res/airport-time-windows/22/alpha_f_0.1.log,;;;; Solution Found,,61.20,1378,386,1378,277.655
res/airport-time-windows/22/alpha_f_0.log,;;;; Solution Found,,60.24,1378,386,1378,276.93
